Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet
SET 01,14002409523.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Artwork,3D,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 01,14002411263.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14097413224.jpg,-,angelica therese,-,"Artwork,sculpture,Inhabited,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14117060453.jpg,-,angelica therese,-,"sculpture,Artwork,3D,single,Artwork_number,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14225476400.jpg,-,a.cadore,-,"Inhabited,sculpture,Artwork,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14241613173.jpg,-,Afchine Davoudi,"La representation continue 0874 - Un soir au Metropolitan Museum of Art (Petrie Court), Manhattan, New York City, USA","Artwork,sculpture,Inhabited,3D,MetropolitanInDesc,Description,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14354772102.jpg,-,Allan482,-,"Artwork,sculpture,3D,Space,Roman_LevyWhite_Court_162,Art2or3",Sculpture,DeptSpaces
SET 01,14417568558.jpg,-,Eddie C3,"The Robert Lehman Spiderweb  The Robert Lehman Collection, one of the most distinguished privately assembled art collections in the United States, could easily stand alone as one of the nation's world class museums. Except it is not a free standing museum, just one of many glorious wings that can be found in the 2 million square feet of the Metropolitan Museum of Art.","Space,MetropolitanInDesc,Description,Lehman_Collection_950,2D,Art2or3,3D,painting,Artwork",Painting,DeptSpaces
SET 01,14418396607.jpg,-,Eddie C3,"cmp3.10.3.1Lq4 0xf5fffab1 An American Courtyard  The Charles Engelhard Court is th 136,000-square-foot Crystal Palace of Central Park. The glassed-in courtyard, filled with some 60 monumental marbles, bronzes, mosaics, stained-glass windows and architectural elements, acts as the gateway the American Wing of the Metropolitan Museum.   The centerpiece 'Diana' a smaller version of the Augustus Saint-Gaudens weather vane that once stood above the second Madison Square Garden now points toward the entrance of the American wing.   In the background is the facade of the Branch Bank of the United States that was once a Central Park outdoor entrance to the Met's American collection. The two Beaux-Arts bronze lampposts flanking the Bank facade were the original lampposts that Richard Morris Hunt designed for the Met entrance.","Inhabited,American,Department,MetropolitanInDesc,Description,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces
SET 01,14427557507.jpg,-,Eddie C3,"cmp3.10.3.1Lq4 0xa40a7d46Les Bourgeois de Calais  Auguste Rodin's capture of an event that occurred in 1347, this â€œpoignant mix of defeat, heroic self-sacrifice, and willingness to face imminent deathâ€ seems to me to be his most moving work. But in the city of Calais, where this surrender occurred it wasn't always seen that way.   To sum it up, during the Hundred Years' War, Calais had been under siege by the English for over a year. Starvation eventually forced the important French port to seek terms of surrender. England's King Edward III offered to spare the people of the city if any six of its top leaders would surrender themselves to him. Edward demanded that they walk out wearing nooses around their necks, and carrying the keys to the city and castle. Six of the wealthiest of the town leaders volunteered. It was this moment, Calais's wealthiest and most successful walking to the city gates to face imminent death that Rodin captured in his sculpture.   Calais commissioned Auguste Rodin to create the The Burghers of Calais in 1884. When the sculpture was completed in1889 the public had a lack of appreciation for it because the burghers were not presented in a positive image of glory. Instead those burghers displayed 'pain, anguish and fatalism.' Rodin intended the monument to be placed at ground level so that contemporary townsfolk would 'almost bump into' the figures and get a sense of solidarity. But because of the lack of 'overtly heroic antique references' the monument was installed at the entrance of a Calais park high above on a large pedestal where people could not see the anguish.   But there are two happy endings to report. First, England's queen, Philippa of Hainault persuaded her husband to exercise mercy by claiming that the deaths of the burghers would be a bad omen for her unborn child, so they survived the ordeal. And second, the people of Calais eventually accepted Rodin's vision and in 1926 the sculpture was moved to a much lower base in front of the newly completed town hall.","Artwork,sculpture,Inhabited,3D,single,Artwork_number,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14469044339.jpg,Positive,Eddie C3,"Positive  Dan Graham b. 1942 Urbana, Illinois   Triangular Solids with Circular Cutouts, Variation K 2011-14   Stainless steel, glass and two-way mirrored glass.","Artwork,sculpture,Modern_Wing,Space,3D,Art2or3",Sculpture,DeptSpaces
SET 01,14469055708.jpg,Negative,Eddie C3,"cmp3.10.3.1Lq4 0xa362b87a Negative  Dan Graham b. 1942 Urbana, Illinois   Triangular Solids with Circular Cutouts, Variation K 2011-14   Stainless steel, glass and two-way mirrored glass.","Artwork,sculpture,Modern_Wing,Space,3D,Art2or3",Sculpture,DeptSpaces
SET 01,14570394830.jpg,-,Phil Roeder,The Metropolitan Museum of Art  Overlooking the Charles Engelhard Court at the Met.,"Inhabited,Artwork,3D,MetropolitanInDesc,Description,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 01,14570667887.jpg,-,Phil Roeder,The Metropolitan Museum of Art  Some details carved in the Temple of Dendur in the Sackler Wing of the Met.,"Artwork,sculpture,Inhabited,3D,MetropolitanInDesc,Description,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14584628629.jpg,-,Phil Roeder,The Metropolitan Museum of Art  Inside the Carroll and Milton Petrie European Sculpture Court.,"Artwork,sculpture,Inhabited,3D,European,Department,MetropolitanInDesc,Description,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14585689196.jpg,-,Eddie C3,Modern Gallery Skylight  A place once for large 20th Century paintings and sculptures in the Metropolitan Museum of Art. Now the 21st Century is sneaking in there too.,"Artwork,painting,2D,Department,modern,MetropolitanInDesc,Description,multiple,Artwork_number,Space,Modern_Wing,Art2or3",Painting,DeptSpaces
SET 01,14596553285.jpg,-,Eddie C3,Colorful Dentals  Is this minimalism? Must be Elsworth Kelly. I forgot who did the bull's eye at the end.,"Artwork,painting,2D,multiple,Artwork_number,Modern_Levine_Court_915,Space,Art2or3",Painting,DeptSpaces
SET 01,14608139482.jpg,-,Eddie C3,"cmp3.10.3.1Lq4 0x411b5876   The Charles Engelhard Court is th 136,000-square-foot Crystal Palace of Central Park. The glassed-in courtyard, filled with some 60 monumental marbles, bronzes, mosaics, stained-glass windows and architectural elements, acts as the gateway the American Wing of the Metropolitan Museum.   The centerpiece 'Diana' a smaller version of the Augustus Saint-Gaudens weather vane that once stood above the second Madison Square Garden now points toward the entrance of the American wing.   On the right is the facade of the Branch Bank of the United States that was once a Central Park outdoor entrance to the Met's American collection. The two Beaux-Arts bronze lampposts flanking the Bank entrance were the original lampposts that Richard Morris Hunt designed for the Met entrance.","Inhabited,American,Department,MetropolitanInDesc,Description,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces
SET 01,14616237571.jpg,-,Eddie C3,"Memories of Budget Dating  You wouldn't know it by looking into this brightly lit great hall of art but this area was once dimmed with warm dining room lighting. Back in the 1980's and most of the 90's this was once the dining hall of the Metropolitan Museum of Art.   This view always drums up nostalgic memories for me. On Friday and Saturday, the two days of the week that the museum has evening hours, they served up some of the finest prime rib I've ever tasted. The dinners were reasonably priced and served up with a classis piano accompaniment.   In those times it seemed like the perfect evening. After a good meal and conversation you could either walk it off in the almost empty galleries of art or go up to the grand balcony for smooth jazz or chamber music.","Artwork,sculpture,Inhabited,3D,MetropolitanInDesc,Description,Roman,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14632689886.jpg,-,Eddie C3,"Posterized  Dan Graham b. 1942 Urbana, Illinois   Triangular Solids with Circular Cutouts, Variation K 2011-14  ","Artwork,sculpture,3D,Stylized,Modern_Levine_Court_915,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14662139869.jpg,-,photographics@snet.net,cmp3.10.3.1Lq4 0xad6b4f35,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14662142989.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14662143919.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14662148308.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14662237097.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,Artwork,3D,sculpture,Costume,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14731983430.jpg,Gallery,John St John Photography,"Metropolitan Museum of Art, New York City.","John St John Photography: gallery,John St John Photography: metropolitanmuseumofart,John St John Photography: met,John St John Photography: newyorkcity,John St John Photography: newyork,John St John Photography: streetphotography,John St John Photography: man,John St John Photography: artgallery,John St John Photography: blackandwhite,John St John Photography: blackwhite,John St John Photography: bw,John St John Photography: peopleofnewyork,Inhabited,MetropolitanInDesc,Description,Lehman_Collection_950,Space,2D,Art2or3,painting,Artwork",Painting,DeptSpaces
SET 01,14734201146.jpg,-,Phil Roeder,The Metropolitan Museum of Art  A group of Chinese visitors get a look at the Temple of Dendur in the Sackler Wing at the Met.,"Artwork,sculpture,Inhabited,3D,MetropolitanInDesc,Description,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14748273116.jpg,-,Phil Roeder,The Metropolitan Museum of Art  Drawing in the Carroll and Milton Petrie European Sculpture Court.,"Artwork,sculpture,Inhabited,3D,European,Department,MetropolitanInDesc,Description,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14754757254.jpg,-,Phil Roeder,The Metropolitan Museum of Art  Overlooking the Charles Engelhard Court at the Met.,"Inhabited,MetropolitanInDesc,Description,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces
SET 01,14764054310.jpg,La Sirene Evening Dress,Eddie C3,This i found interesting in that the ivory silk crepe would be around forty feet long if the stitching was taken out.,"Eddie C3: metropolitanmuseumofart,Eddie C3: metropolitanmuseum,Eddie C3: charlesjames,Eddie C3: fashion,Eddie C3: clothing,Eddie C3: history,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14764176087.jpg,Collapsible Shoulders,Eddie C3,The gift shop exit from <a href=http://www.metmuseum.org/exhibitions/listings/2014/charles-james-beyond-fashion rel=nofollow>Charles James: Beyond Fashion. </a>,"Eddie C3: metropolitanmuseumofart,Eddie C3: metropolitanmuseum,Eddie C3: charlesjames,Eddie C3: fashion,Eddie C3: clothing,Eddie C3: history,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14845697351.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14848428542.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14848760555.jpg,Charles James at the MET,photographics@snet.net,Beyond Fashion,"photographics@snet.net: metropolitanmuseumofart,photographics@snet.net: nikond800e,photographics@snet.net: art,photographics@snet.net: beyondfashion,photographics@snet.net: charlesjames,photographics@snet.net: dresses,photographics@snet.net: gowns,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14860211111.jpg,-,Norcat95,"cmp3.10.3.1Lq3 0x74d72e2c Standing Guard  Reflecting pool in front of the #TempleOfDendur, at #TheMetropolitanMuseumOfArt in #NYC.   #museum #Egyptian #art #TheMet #reflection #perspective #nofilter","Artwork,sculpture,Inhabited,3D,Department,Egyptian,MetropolitanInDesc,Description,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14873291431.jpg,-,Stanley Zimny (Thank You for 10 Million views),Golden Archer,"Artwork,sculpture,3D,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14879539960.jpg,IMGP5386,Marat Elkanidze,NA,"Marat Elkanidze: metropolitanmuseum,Marat Elkanidze: sculptures,Marat Elkanidze: pentaxart,Artwork,3D,sculpture,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14927734486.jpg,Charles James: Beyond Fashion,Eddie C3,The end of seven photos taken with my point and shoot while accompanying a friend to <a href=http://www.metmuseum.org/exhibitions/listings/2014/charles-james-beyond-fashion rel=nofollow>this Met Museum exhibit</a> that closed last week.,"Eddie C3: metropolitanmuseumofart,Eddie C3: metropolitanmuseum,Eddie C3: charlesjames,Eddie C3: fashion,Eddie C3: clothing,Eddie C3: history,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14947621721.jpg,Red Dress by Charles James,Eddie C3,It was dark inside the show. A challenge for my Canon G-x1. But this was quite the dress.,"Eddie C3: metropolitanmuseumofart,Eddie C3: metropolitanmuseum,Eddie C3: charlesjames,Eddie C3: fashion,Eddie C3: clothing,Eddie C3: history,Inhabited,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14950375542.jpg,Partners of Charles James,Eddie C3,"I did not know that fashion designers often create dresses with less expensive material before moving on to the finished product. ;;So these are dresses of muslin fabric, not for wear but made as templates. Sort of like a dress rehearsal.","Eddie C3: metropolitanmuseumofart,Eddie C3: metropolitanmuseum,Eddie C3: charlesjames,Eddie C3: fashion,Eddie C3: clothing,Eddie C3: history,3D,Artwork,costume,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,14950378792.jpg,Observing the Threads,Eddie C3,In the Costume Arts Institute section of the Metropolitan Museum of Art.,"Eddie C3: metropolitanmuseumofart,Eddie C3: metropolitanmuseum,Eddie C3: charlesjames,Eddie C3: fashion,Eddie C3: clothing,Eddie C3: history,Costume_Institute,Department,3D,Artwork,costume,MetropolitanInDesc,Description,Costume,Space,Art2or3",Costume_Textile,DeptSpaces
SET 01,15209984398.jpg,Diana    The MET,rverc,NA,"NA,Artwork,3D,sculpture,Space,Art2or3",Sculpture,DeptSpaces
SET 01,15276762656.jpg,Viewing Tiffany,Stanley Zimny (Thank You for 10 Million views),NA,"Stanley Zimny (Thank You for 10 Million views): nyc,Stanley Zimny (Thank You for 10 Million views): met,Stanley Zimny (Thank You for 10 Million views): museum,Stanley Zimny (Thank You for 10 Million views): art,Stanley Zimny (Thank You for 10 Million views): tiffany,Stanley Zimny (Thank You for 10 Million views): glass,Artwork,3D,sculpture,Space,Art2or3",Sculpture,DeptSpaces
SET 01,5391798807.jpg,Temple of Dendur Hall,Truvor,NA,"Truvor: metropolitanmuseumart,Truvor: museum,Truvor: met,Truvor: mma,Inhabited,Artwork,3D,sculpture,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,5392401154.jpg,Temple of Dendur,Truvor,NA,"Truvor: metropolitanmuseumart,Truvor: museum,Truvor: met,Truvor: mma,Artwork,3D,sculpture,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,5613312741.jpg,-,Jose X,-,"Artwork,sculpture,Inhabited,3D,Roman,Space,Art2or3",Sculpture,DeptSpaces
SET 01,7653389544.jpg,-,rverc,-,"Artwork,sculpture,3D,Space,Art2or3",Sculpture,DeptSpaces
SET 01,8641580025.jpg,-,Nathan_Arrington,-,"Artwork,sculpture,Inhabited,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 02,10448880133.jpg,\\\\\,M I S C H E L L E,<a href=http://lemniscative.tumblr.com rel=nofollow>tumblr</a> \ <a href=http://ablogbymischelle.blogspot.com rel=nofollow>blog</a> \ <a href=http://mischellesmenagerie.bigcartel.com/ rel=nofollow>prints</a> \ <a href=http://www.facebook.com/pages/Mischelle-Evan-Broy-Photography/240442855986867 rel=nofollow>facebook</a>,"M I S C H E L L E: metropolitanmuseum,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,10543008654.jpg,\\\\\,M I S C H E L L E,<a href=http://lemniscative.tumblr.com rel=nofollow>tumblr</a> \ <a href=http://ablogbymischelle.blogspot.com rel=nofollow>blog</a> \ <a href=http://mischellesmenagerie.bigcartel.com/ rel=nofollow>prints</a> \ <a href=http://www.facebook.com/pages/Mischelle-Evan-Broy-Photography/240442855986867 rel=nofollow>facebook</a>,"M I S C H E L L E: metropolitanmuseum,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,10543040724.jpg,\\\\\,M I S C H E L L E,<a href=http://lemniscative.tumblr.com rel=nofollow>tumblr</a> \ <a href=http://ablogbymischelle.blogspot.com rel=nofollow>blog</a> \ <a href=http://mischellesmenagerie.bigcartel.com/ rel=nofollow>prints</a> \ <a href=http://www.facebook.com/pages/Mischelle-Evan-Broy-Photography/240442855986867 rel=nofollow>facebook</a>,"M I S C H E L L E: metropolitanmuseum,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,10543130934.jpg,\\\\\,M I S C H E L L E,<a href=http://lemniscative.tumblr.com rel=nofollow>tumblr</a> \ <a href=http://ablogbymischelle.blogspot.com rel=nofollow>blog</a> \ <a href=http://mischellesmenagerie.bigcartel.com/ rel=nofollow>prints</a> \ <a href=http://www.facebook.com/pages/Mischelle-Evan-Broy-Photography/240442855986867 rel=nofollow>facebook</a>,"M I S C H E L L E: metropolitanmuseum,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,10543162864.jpg,\\\\\,M I S C H E L L E,<a href=http://lemniscative.tumblr.com rel=nofollow>tumblr</a> \ <a href=http://ablogbymischelle.blogspot.com rel=nofollow>blog</a> \ <a href=http://mischellesmenagerie.bigcartel.com/ rel=nofollow>prints</a> \ <a href=http://www.facebook.com/pages/Mischelle-Evan-Broy-Photography/240442855986867 rel=nofollow>facebook</a>,"M I S C H E L L E: metropolitanmuseum,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,10543193314.jpg,\\\\\,M I S C H E L L E,<a href=http://lemniscative.tumblr.com rel=nofollow>tumblr</a> \ <a href=http://ablogbymischelle.blogspot.com rel=nofollow>blog</a> \ <a href=http://mischellesmenagerie.bigcartel.com/ rel=nofollow>prints</a> \ <a href=http://www.facebook.com/pages/Mischelle-Evan-Broy-Photography/240442855986867 rel=nofollow>facebook</a>,"M I S C H E L L E: metropolitanmuseum,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,10745403495.jpg,Velez Blanco,bobtrancho,"Patio from the castle of Velez Blanco, Metropolitan Museum of Art, NY  addl Patio from the Castle of Velez Blanco Date: 1506-15 Medium: Marble of Macael (Sierra de Filabres) Accession Number: 41.190.482 On view in Gallery 534","bobtrancho: topazclarity,bobtrancho: topazbweffects,bobtrancho: bw,bobtrancho: metmuseum,3D,Artwork,Description,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 02,10890960223.jpg,2013-11-11 - American Wing - Visible Storage - ceramicware,zigwaffle,-,"zigwaffle: art,zigwaffle: 2013,zigwaffle: metropolitanmuseumofart,zigwaffle: nyc,zigwaffle: newyork,3D,Artwork,Visible_Storage,Space,Art2or3,decorative_art",Decorative_Object,DeptSpaces
SET 02,10890961793.jpg,2013-11-11 - American Wing - Visible Storage - ceramicware,zigwaffle,-,"zigwaffle: art,zigwaffle: 2013,zigwaffle: metropolitanmuseumofart,zigwaffle: nyc,zigwaffle: newyork,3D,Artwork,Visible_Storage,Space,Art2or3,decorative_art",Decorative_Object,DeptSpaces
SET 02,11253863694.jpg,European Sculpture Court,"Joe Josephs: 1,355,720 views - thank you",Metropolitan Museum of Art;New York City,"'Joe Josephs: 1,355,720 views - thank you: met,Joe Josephs: 1,355,720 views - thank you: metropolitanmuseumofart,Joe Josephs: 1,355,720 views - thank you: art,Joe Josephs: 1,355,720 views - thank you: artmuseums,Joe Josephs: 1,355,720 views - thank you: newyorkcity,Joe Josephs: 1,355,720 views - thank you: nikon58mm14g,Joe Josephs: 1,355,720 views - thank you: nikond800e,Joe Josephs: 1,355,720 views - thank you: joejosephs,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephsphotography,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs2013,',Joe Josephs: 1,355,720 views - thank you: metropolitanmuseumofar,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephspho,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs201,3D,Artwork,Description,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 02,11531722096.jpg,USA-NYC-MET1,fbflickr,NA,"fbflickr: usa,fbflickr: nyc,fbflickr: new,fbflickr: york,fbflickr: manhattan,fbflickr: metropolitan,fbflickr: museum,fbflickr: art,3D,Artwork,Inhabited,Space,Art2or3,sculpture_and_decorative",Sculpture,DeptSpaces
SET 02,11626878506.jpg,Dining in Art Nouveau Style,Eddie C3,"Throughout the Metropolitan Museum of Art you can find many entire rooms on display. In relating to the art these period rooms rooms offer a new level of interest is added. You can also relate to the people who lived there and increase your understanding of living in that time.;;This <a href=http://www.metmuseum.org/toah/hd/wist/hd_wist.htm rel=nofollow>Art Nouveau Parisian Dining Room</a> has a bond with <a href=http://www.flickr.com/photos/edcnyc/11626475954/>the other room I posted today</a> in that they are the only two rooms in the Met that I know of created after the common use of electric lighting. Like the Living room from the Little House, Wayzata, Minnesota this room was completed in 1914 and about to celebrate a one hundredth birthday.;;Both were meant to get away from it all but this Central Paris setting was an every day respite from a rapidly industrializing world. Interesting contrast in that Frank Lloyd Wright grasped onto a natural future for the summer residence of Frances W. Little, while Lucien Hesse tried to offer a new sort of restoration of the 18th century for Auguste Rateau in this dining room that stood at the foot of the Eiffel Tower. ;;I wonder what sort of period rooms will be on display one hundred years from now and what people will understand about our time.","Eddie C3: newyorkcity,Eddie C3: art,Eddie C3: metropolitanmuseum,Eddie C3: metropolitanmuseumofart,Eddie C3: architecture,Eddie C3: periodrooms,Eddie C3: lucienhesse,Eddie C3: paris,Eddie C3: artnouveau,3D,Artwork,Description,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 02,11783591335.jpg,X100-12-31-13-220,a.cadore,NA,"a.cadore: fujifilm,a.cadore: themetropolitanmuseumofart,a.cadore: metropolitanmuseum,a.cadore: museum,a.cadore: fujifilmx100,a.cadore: x100,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 02,11845684974.jpg,USA-NYC-MET-European Sculpture0,fbflickr,NA,"fbflickr: usa,fbflickr: new,fbflickr: nyc,fbflickr: york,fbflickr: manhattan,fbflickr: metropolitan,fbflickr: museum,fbflickr: art,fbflickr: european,fbflickr: sculpture,European,Department,3D,Artwork,2D,Inhabited,European_SalonPtg_800,Space,Art2or3,painting_and_sculpture",Sculpture,DeptSpaces
SET 02,11874624894.jpg,USA-NYC-MET-Islamic Art1,fbflickr,"NA  addl Gallery 457 - Spain, North Africa, and the Western Mediterranean (8th-19th centuries)","fbflickr: usa,fbflickr: new,fbflickr: nyc,fbflickr: york,fbflickr: manhattan,fbflickr: metropolitan,fbflickr: museum,fbflickr: art,fbflickr: islamic,Islamic_Art,Department,3D,Artwork,Inhabited,Islamic_,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 02,11875161156.jpg,USA-NYC-MET-The Velez Blanco Patio0,fbflickr,NA,"fbflickr: usa,fbflickr: new,fbflickr: york,fbflickr: nyc,fbflickr: manhattan,fbflickr: metropolitan,fbflickr: museum,fbflickr: art,3D,Artwork,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 02,11881003895.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"NA,3D,Artwork,Space,Art2or3,sculpture",Sculpture,DeptSpaces
