Category,File Name,Accession #,Title,Creator,Description,Keywords,Title,PrimaryArtistName,galleryLink,gallery,InTheMuseumList Name,InTheMuseumList Url,ClassificationList,whatList,CRDID,checkAccNo,scrapiurl,meturl,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias,,,,,,,,,,,
SET 01,14246793347.jpg,22.139.2,-,-,"New York - Metropolitan Museum of Art  Roman Sculpture Court   Marble portrait bust of the Empress Sabina (Roman, ca. A.D. 122-128)   addl Over-life-sized marble portrait, probably of the empress Sabina Date: ca. A.D. 121–128 Medium: Marble Accession Number: 22.139.2 On view in Gallery 162 no image","Artwork,sculpture,3D,Department,Roman,MetropolitanInDesc,Description,Artwork_number,across_the_room,Framing,multiple,one-focal","Over-life-sized marble portrait, probably of the empress Sabina", ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Stone Sculpture,"Sculpture,Stone,Figures,Marble,Busts",251182,22.139.2,http://scrapi.org/object/251182,http://www.metmuseum.org/collection/the-collection-online/search/251182,14246793347,https://www.flickr.com/photos/63977172@N04/14246793347/,http://c2.staticflickr.com/4/3921/14246793347_3c85d49334.jpg,http://c2.staticflickr.com/4/3921/14246793347_3c85d49334.jpg,Allan482,63977172@N04,,,,,,,,,,,,
SET 01,14522281753.jpg,2011.493a–j,-,-,"New York - Metropolitan Museum of Art  Kohei Nawa: PixCell-Deer#24 (2011)  addl PixCell-Deer#24 Kohei Nawa (Japanese, born 1975) Date: 2011 Medium: Mixed media; taxidermied deer with artificial crystal glass Accession Number: 2011.493a–j On view in Gallery 232","Artwork,sculpture,3D,MetropolitanInDesc,Description,Artwork_number,across_the_room,Framing,multiple,one-focal",PixCell-Deer#24,Kohei Nawa,/visit/museum-map/galleries/asian/232,232,Asian Art,/collection/the-collection-online/search?ft=*&amp;deptids=6,Sculpture,"Sculpture,Glass,Crystal,Mixed media",76970,2011.493a–j,http://scrapi.org/object/76970,http://www.metmuseum.org/collection/the-collection-online/search/76970,14522281753,https://www.flickr.com/photos/63977172@N04/14522281753/,http://c2.staticflickr.com/4/3868/14522281753_9d196f11f3.jpg,http://c2.staticflickr.com/4/3868/14522281753_9d196f11f3.jpg,Allan482,63977172@N04,,,,,,,,,,,,
SET 01,14333243176.jpg,L.2007.63,-,Allan482,"New York - Metropolitan Museum of Art  Roman Sculpture Court   Artemis and the Stag (Roman, 1st century BC – 1st century AD)  addl Bronze statue of Artemis and a Deer Date: ca. 1st century B.C.–1st century A.D. Medium: Bronze Accession Number: L.2007.63 On view in Gallery 162 no image","Artwork,sculpture,3D,Department,Roman,MetropolitanInDesc,Description,multiple,Artwork_number,one-focal",Bronze statue of Artemis and a Deer, ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Bronzes,"Metal,Copper alloy,Bronze,Figures",258081,L.2007.63,http://scrapi.org/object/258081,http://www.metmuseum.org/collection/the-collection-online/search/258081,14333243176,https://www.flickr.com/photos/63977172@N04/14333243176/,http://c2.staticflickr.com/4/3853/14333243176_592fc8ed58.jpg,http://c2.staticflickr.com/4/3853/14333243176_592fc8ed58.jpg,Allan482,63977172@N04,,,,,,,,,,,,
SET 01,14339323507.jpg,1976.218,-,-,"La représentation continue 0932 - Rubens, 1577-1640, Portrait de femme, 1627, prob. Suzanne Fourment, 1599-1628, Metropolitan Museum of Art, New York City  addl Portrait of a Woman, Probably Susanna Lunden (Susanna Fourment, 1599–1628) Peter Paul Rubens (Flemish, Siegen 1577–1640 Antwerp) Date: ca. 1625–27 Medium: Oil on wood Accession Number: 1976.218 On view in Gallery 628","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number","Portrait of a Woman, Probably Susanna Lunden (Susanna Fourment, 1599–1628)",Peter Paul Rubens,/visit/museum-map/galleries/european-paintings/628,628,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Oil paint",437531,1976.218,http://scrapi.org/object/437531,http://www.metmuseum.org/collection/the-collection-online/search/437531,14339323507,https://www.flickr.com/photos/50260960@N06/14339323507/,http://c2.staticflickr.com/4/3904/14339323507_3a90b0c91c.jpg,http://c2.staticflickr.com/4/3904/14339323507_3a90b0c91c.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14436999313.jpg,1992.131,-,-,"New York - Metropolitan Museum of Art  Jain Svetambara Tirthankara in Meditation (India, 11th century)   Architectural Ensemble from a Jain Meeting Hall (India, 16th century)  addl Jain Svetambara Tirthankara in Meditation Date: first half of the 11th century Medium: Marble Accession Number: 1992.131 On view in Gallery 241","Artwork,sculpture,3D,MetropolitanInDesc,Description,single,Artwork_number,full,Framing",Jain Svetambara Tirthankara in Meditation, ,/visit/museum-map/galleries/asian/241,241,Asian Art,/collection/the-collection-online/search?ft=*&amp;deptids=6,Sculpture,"Sculpture,Figures,Marble",38574,1992.131,http://scrapi.org/object/38574,http://www.metmuseum.org/collection/the-collection-online/search/38574,14436999313,https://www.flickr.com/photos/63977172@N04/14436999313/,http://c2.staticflickr.com/3/2916/14436999313_d3711ae72a.jpg,http://c2.staticflickr.com/3/2916/14436999313_d3711ae72a.jpg,Allan482,63977172@N04,,,,,,,,,,,,
SET 01,14339218740.jpg,49.7.33,-,-,"La représentation continue 0934 - Frans Hals, 1582-1666, Portrait d'un homme, prob. Nicolaes Pitersz Duyst van Voorhout (v. 1600-1650), v. 1638, Metropolitan Museum of Art, NYC  addl not onlinePortrait of a Man, Possibly Nicolaes Pietersz Duyst van Voorhout (born about 1600, died 1650) Frans Hals (Dutch, Antwerp 1582/83–1666 Haarlem) Date: ca. 1636–38 Medium: Oil on canvas Accession Number: 49.7.33 On view in Gallery 636","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number","Portrait of a Man, Possibly Nicolaes Pietersz Duyst van Voorhout (born about 1600, died 1650)",Frans Hals,/visit/museum-map/galleries/european-paintings/636,636,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",436621,49.7.33,http://scrapi.org/object/436621,http://www.metmuseum.org/collection/the-collection-online/search/436621,14339218740,https://www.flickr.com/photos/50260960@N06/14339218740/,http://c2.staticflickr.com/4/3877/14339218740_83afae89de.jpg,http://c2.staticflickr.com/4/3877/14339218740_83afae89de.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14418246403.jpg,46.68,-,-,"La représentation continue 0913 -  (actif en 1516 - Paris, v. 1540), Guillaume Budé (1467-1540), 1536, Metropolitan Museum of Art, New York City  addl Guillaume Budé (1467–1540) Jean Clouet (French, active by 1516–died 1540/41 Paris) Date: ca. 1536 Medium: Oil on wood Accession Number: 46.68 On view in Gallery 644","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number",La Peinture en Equipage,Written by P. Fleury,This artwork is not on display, ,Drawings and Prints,/collection/the-collection-online/search?ft=*&amp;deptids=9,Books,Books,349795,46.68,http://scrapi.org/object/349795,http://www.metmuseum.org/collection/the-collection-online/search/349795,Guillaume Budé (1467–1540),Jean Clouet,/visit/museum-map/galleries/european-paintings/644,644,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Oil paint",435914,46.68,http://scrapi.org/object/435914,http://www.metmuseum.org/collection/the-collection-online/search/435914,14418246403,https://www.flickr.com/photos/50260960@N06/14418246403/,http://c2.staticflickr.com/4/3851/14418246403_9a54a040b6.jpg,http://c2.staticflickr.com/4/3851/14418246403_9a54a040b6.jpg,Afchine Davoudi,50260960@N06
SET 01,14418246403.jpg,46.68,-,-,"La représentation continue 0913 -  (actif en 1516 - Paris, v. 1540), Guillaume Budé (1467-1540), 1536, Metropolitan Museum of Art, New York City  addl Guillaume Budé (1467–1540) Jean Clouet (French, active by 1516–died 1540/41 Paris) Date: ca. 1536 Medium: Oil on wood Accession Number: 46.68 On view in Gallery 644","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number",La Peinture en Equipage,Written by P. Fleury,This artwork is not on display, ,Drawings and Prints,/collection/the-collection-online/search?ft=*&amp;deptids=9,Books,Books,349795,46.68,http://scrapi.org/object/349795,http://www.metmuseum.org/collection/the-collection-online/search/349795,14418246403,https://www.flickr.com/photos/50260960@N06/14418246403/,http://c2.staticflickr.com/4/3851/14418246403_9a54a040b6.jpg,http://c2.staticflickr.com/4/3851/14418246403_9a54a040b6.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14453070409.jpg,1975.1.233,-,-,"New York - Metropolitan Museum of Art  Robert Lehman Collection   Raimundo de Madrazo y Garreta: Masqueraders (1875–78)   addl Masqueraders Raimundo de Madrazo y Garreta (Spanish, Rome 1841–1920 Versailles) Date: 1875–78 Medium: Oil on canvas Accession Number: 1975.1.233 On view in Gallery 957  ","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,full,single,Artwork_number",Masqueraders,Raimundo de Madrazo y Garreta,/visit/museum-map/galleries/robert-lehman/957,957,Robert Lehman Collection,/collection/the-collection-online/search?ft=*&amp;deptids=15,Paintings,"Paintings,Canvas,Oil paintings",459124,1975.1.233,http://scrapi.org/object/459124,http://www.metmuseum.org/collection/the-collection-online/search/459124,14453070409,https://www.flickr.com/photos/63977172@N04/14453070409/,http://c2.staticflickr.com/6/5550/14453070409_38f9d04856.jpg,http://c2.staticflickr.com/6/5550/14453070409_38f9d04856.jpg,Allan482,63977172@N04,,,,,,,,,,,,
SET 01,14363587270.jpg,1974.348,-,-,"La représentation continue 0943 - Guido Reni (Bologne, 1575-1642), La Charité, dét., The Metropolitan Museum of Art, Manhattan, New York City  addl Charity Guido Reni (Italian, Bologna 1575–1642 Bologna) Date: Medium: Oil on canvas Accession Number: 1974.348 On view in Gallery 601","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",Charity,Guido Reni,/visit/museum-map/galleries/european-paintings/601,601,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",437422,1974.348,http://scrapi.org/object/437422,http://www.metmuseum.org/collection/the-collection-online/search/437422,14363587270,https://www.flickr.com/photos/50260960@N06/14363587270/,http://c2.staticflickr.com/6/5560/14363587270_24682018ff.jpg,http://c2.staticflickr.com/6/5560/14363587270_24682018ff.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14608589175.jpg,2010.228,-,-,"Artemisia in Mourning  Metropolitan Museum of Art, New York.   Artemisia in Mourning Philipp Jakob Scheffauer (German, 1756–1808) Date: 1794 Culture: German, Stuttgart Medium: Marble Dimensions: Overall (confirmed): H. 19 3/4 x W. 11 13/16 x D. 1 15/16 in. (50.2 x 30 x 5 cm) Classification: Sculpture  addl Artemisia in Mourning Philipp Jakob Scheffauer (German, 1756–1808) Date: 1794 Medium: Marble Accession Number: 2010.228 On view in Gallery 553","Artwork,sculpture,3D,MetropolitanInDesc,Description,single,Artwork_number,Framing,full,partial",Artemisia in Mourning,Philipp Jakob Scheffauer,/visit/museum-map/galleries/european-sculpture-and-decorative-arts/553,553,European Sculpture and Decorative Arts,/collection/the-collection-online/search?ft=*&amp;deptids=12,Sculpture,"Sculpture,Reliefs,Marble",237794,2010.228,http://scrapi.org/object/237794,http://www.metmuseum.org/collection/the-collection-online/search/237794,14608589175,https://www.flickr.com/photos/jaroslavd/14608589175/,http://c2.staticflickr.com/6/5037/14608589175_0feb61cd7c.jpg,http://c2.staticflickr.com/6/5037/14608589175_0feb61cd7c.jpg,jaroslavd,98775743@N00,jaroslavd,,,,,,,,,,,
SET 01,14524374814.jpg,37.162,-,-,"La représentation continue 0933 - Pierre Paul Rubens, 1577-1640, Vénus et Adonis, v. 1635 (?), Metropolitan Museum of Art, New York City  addl Venus and Adonis Peter Paul Rubens (Flemish, Siegen 1577–1640 Antwerp) Date: probably mid-1630s Medium: Oil on canvas Accession Number: 37.162 On view in Gallery 628","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",Venus and Adonis,Peter Paul Rubens,/visit/museum-map/galleries/european-paintings/628,628,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",437535,37.162,http://scrapi.org/object/437535,http://www.metmuseum.org/collection/the-collection-online/search/437535,14524374814,https://www.flickr.com/photos/50260960@N06/14524374814/,http://c2.staticflickr.com/4/3893/14524374814_ae7d9273de.jpg,http://c2.staticflickr.com/4/3893/14524374814_ae7d9273de.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
