Category,File Name,Accession #,Title,Creator,Description,Keywords
SET 01,14246793347.jpg,22.139.2,-,-,"New York - Metropolitan Museum of Art  Roman Sculpture Court   Marble portrait bust of the Empress Sabina (Roman, ca. A.D. 122-128)   addl Over-life-sized marble portrait, probably of the empress Sabina Date: ca. A.D. 121–128 Medium: Marble Accession Number: 22.139.2 On view in Gallery 162 no image","Artwork,sculpture,3D,Department,Roman,MetropolitanInDesc,Description,Artwork_number,across_the_room,Framing,multiple,one-focal"
SET 01,14333243176.jpg,L.2007.63,-,Allan482,"New York - Metropolitan Museum of Art  Roman Sculpture Court   Artemis and the Stag (Roman, 1st century BC – 1st century AD)  addl Bronze statue of Artemis and a Deer Date: ca. 1st century B.C.–1st century A.D. Medium: Bronze Accession Number: L.2007.63 On view in Gallery 162 no image","Artwork,sculpture,3D,Department,Roman,MetropolitanInDesc,Description,multiple,Artwork_number,one-focal"
SET 01,14339218740.jpg,49.7.33,-,-,"La représentation continue 0934 - Frans Hals, 1582-1666, Portrait d'un homme, prob. Nicolaes Pitersz Duyst van Voorhout (v. 1600-1650), v. 1638, Metropolitan Museum of Art, NYC  addl not onlinePortrait of a Man, Possibly Nicolaes Pietersz Duyst van Voorhout (born about 1600, died 1650) Frans Hals (Dutch, Antwerp 1582/83–1666 Haarlem) Date: ca. 1636–38 Medium: Oil on canvas Accession Number: 49.7.33 On view in Gallery 636","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number"
SET 01,14339323507.jpg,1976.218,-,-,"La représentation continue 0932 - Rubens, 1577-1640, Portrait de femme, 1627, prob. Suzanne Fourment, 1599-1628, Metropolitan Museum of Art, New York City  addl Portrait of a Woman, Probably Susanna Lunden (Susanna Fourment, 1599–1628) Peter Paul Rubens (Flemish, Siegen 1577–1640 Antwerp) Date: ca. 1625–27 Medium: Oil on wood Accession Number: 1976.218 On view in Gallery 628","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number"
SET 01,14363587270.jpg,1974.348,-,-,"La représentation continue 0943 - Guido Reni (Bologne, 1575-1642), La Charité, dét., The Metropolitan Museum of Art, Manhattan, New York City  addl Charity Guido Reni (Italian, Bologna 1575–1642 Bologna) Date: Medium: Oil on canvas Accession Number: 1974.348 On view in Gallery 601","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number"
SET 01,14418246403.jpg,46.68,-,-,"La représentation continue 0913 -  (actif en 1516 - Paris, v. 1540), Guillaume Budé (1467-1540), 1536, Metropolitan Museum of Art, New York City  addl Guillaume Budé (1467–1540) Jean Clouet (French, active by 1516–died 1540/41 Paris) Date: ca. 1536 Medium: Oil on wood Accession Number: 46.68 On view in Gallery 644","Artwork,painting,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number"
SET 01,14436999313.jpg,1992.131,-,-,"New York - Metropolitan Museum of Art  Jain Svetambara Tirthankara in Meditation (India, 11th century)   Architectural Ensemble from a Jain Meeting Hall (India, 16th century)  addl Jain Svetambara Tirthankara in Meditation Date: first half of the 11th century Medium: Marble Accession Number: 1992.131 On view in Gallery 241","Artwork,sculpture,3D,MetropolitanInDesc,Description,single,Artwork_number,full,Framing"
SET 01,14453070409.jpg,1975.1.233,-,-,"New York - Metropolitan Museum of Art  Robert Lehman Collection   Raimundo de Madrazo y Garreta: Masqueraders (1875–78)   addl Masqueraders Raimundo de Madrazo y Garreta (Spanish, Rome 1841–1920 Versailles) Date: 1875–78 Medium: Oil on canvas Accession Number: 1975.1.233 On view in Gallery 957  ","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,full,single,Artwork_number"
SET 01,14522281753.jpg,2011.493a–j,-,-,"New York - Metropolitan Museum of Art  Kohei Nawa: PixCell-Deer#24 (2011)  addl PixCell-Deer#24 Kohei Nawa (Japanese, born 1975) Date: 2011 Medium: Mixed media; taxidermied deer with artificial crystal glass Accession Number: 2011.493a–j On view in Gallery 232","Artwork,sculpture,3D,MetropolitanInDesc,Description,Artwork_number,across_the_room,Framing,multiple,one-focal"
SET 01,14524374814.jpg,37.162,-,-,"La représentation continue 0933 - Pierre Paul Rubens, 1577-1640, Vénus et Adonis, v. 1635 (?), Metropolitan Museum of Art, New York City  addl Venus and Adonis Peter Paul Rubens (Flemish, Siegen 1577–1640 Antwerp) Date: probably mid-1630s Medium: Oil on canvas Accession Number: 37.162 On view in Gallery 628","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number"
SET 01,14548910064.jpg,52.81,-,-,"La représentation continue 0946 - Le Caravage, 1571-1610, Les Musiciens, 1595, dét., The Metropolitan Museum of Art, New York City  addl The Musicians Caravaggio (Michelangelo Merisi)  (Italian, Milan or Caravaggio 1571–1610 Porto Ercole) Date: ca. 1595 Medium: Oil on canvas Dimensions: 36 1/4 x 46 5/8 in. (92.1 x 118.4 cm) Classification: Paintings Credit Line: Rogers Fund, 1952 Accession Number: 52.81 On view in Gallery 621 ","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number"
SET 01,14549560372.jpg,52.81,-,-,"La représentation continue 0947 - Le Caravage, 1571-1610, Les Musiciens, 1595, dét., The Metropolitan Museum of Art, New York City   addl The Musicians Caravaggio (Michelangelo Merisi)  (Italian, Milan or Caravaggio 1571–1610 Porto Ercole) Date: ca. 1595 Medium: Oil on canvas Dimensions: 36 1/4 x 46 5/8 in. (92.1 x 118.4 cm) Classification: Paintings Credit Line: Rogers Fund, 1952 Accession Number: 52.81 On view in Gallery 621","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number"
SET 01,14569958536.jpg,67.25,-,ישעיה טשערויין,"Ugolino and His Sons, Carpeaux, Metropolitan Museum of Art, NYC, July 4, 2014 48-1 full bp  addl Ugolino and His Sons Jean-Baptiste Carpeaux (French, Valenciennes 1827–1875 Courbevoie) Date: 1865–67 Medium: Saint-Béat marble Accession Number: 67.250 On view in Gallery 999","Artwork,sculpture,3D,MetropolitanInDesc,Description,single,Artwork_number,Framing,partial"
SET 01,14570428979.jpg,"29.100.48, 09.27, 29.100.47",-,-,"The Metropolitan Museum of Art  Enjoying the works of Mary Cassatt in the American wing of the Met.   addl Young Mother Sewing Mary Cassatt (American, Pittsburgh, Pennsylvania 1844–1926 Le Mesnil-Théribus, Oise) Date: 1900 Medium: Oil on canvas Accession Number: 29.100.48 On view in Gallery 768  Mother and Child (Baby Getting Up from His Nap) Mary Cassatt (American, Pittsburgh, Pennsylvania 1844–1926 Le Mesnil-Théribus, Oise) Date: ca. 1899 Medium: Oil on canvas Accession Number: 09.27 On view in Gallery 768  Mother and Child (The Oval Mirror) Mary Cassatt (American, Pittsburgh, Pennsylvania 1844–1926 Le Mesnil-Théribus, Oise) Date: ca. 1899 Medium: Oil on canvas Accession Number: 29.100.47 On view in Gallery 768  ","Artwork,sculpture,painting,Inhabited,2D,3D,American,Department,MetropolitanInDesc,Description,multiple,Artwork_number,across_the_room,Framing,multi-focal"
SET 01,14584583730.jpg,89.15.21,-,-,The Metropolitan Museum of Art  Getting a look at Girl with a Water Pitcher by Vermeer.,"Artwork,painting,Inhabited,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number"
SET 01,14608589175.jpg,2010.228,-,-,"Artemisia in Mourning  Metropolitan Museum of Art, New York.   Artemisia in Mourning Philipp Jakob Scheffauer (German, 1756–1808) Date: 1794 Culture: German, Stuttgart Medium: Marble Dimensions: Overall (confirmed): H. 19 3/4 x W. 11 13/16 x D. 1 15/16 in. (50.2 x 30 x 5 cm) Classification: Sculpture  addl Artemisia in Mourning Philipp Jakob Scheffauer (German, 1756–1808) Date: 1794 Medium: Marble Accession Number: 2010.228 On view in Gallery 553","Artwork,sculpture,3D,MetropolitanInDesc,Description,single,Artwork_number,Framing,full,partial"
SET 01,14756775582.jpg,97.34,-,-,"The Metropolitan Museum of Art  Taking in 'Washington Crossing the Delaware,' the 1851 painting by Emanuel Gottlieb Leutze.","Artwork,painting,Inhabited,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number"
SET 01,14757094115.jpg,97.34,-,-,"The Metropolitan Museum of Art  Taking in 'Washington Crossing the Delaware,' the 1851 painting by Emanuel Gottlieb Leutze.","Artwork,painting,Inhabited,2D,MetropolitanInDesc,Description,multiple,Artwork_number,across_the_room,Framing,one-focal"
SET 01,14893146568.jpg,27.2,Pygmalion and Galatea,jaroslavd,"Metropolitan Museum of Art, New York.;;Jean-Leon Gerome;French, Vesoul 1824-1904 Paris;;Pygmalion and Galatea, ca. 1890;Oil on canvas;;Between 1890 and 1893, Gerome made both painted and sculpted variations on the theme of Pygmalion and Galatea, the tale recounted in Ovid's Metamorphoses. All depict the moment when the sculpture of Galatea was brought to life by the goddess Venus, in fulfilment of Pygmalion's wish for a wife as beautiful as the sculpture he created. This is one of three known versions in oil, that are likely based on a polychrome marble sculpture, also fashioned by Gerome. In each of the paintings, the sculpture appears at a different angle, as though it was being viewed in the round.","jaroslavd: metropolitanmuseumofart,jaroslavd: met,jaroslavd: jeanleongerome,jaroslavd: pygmalionandgalatea,jaroslavd: ovid,jaroslavd: metamorphoses,jaroslavd: venus,jaroslavd: wife,jaroslavd: nude,jaroslavd: sensual,jaroslavd: sculpture,jaroslavd: oil,jaroslavd: canvas,Artwork,2D,painting,MetropolitanInDesc,Description,Framing,single,Artwork_number,full"
SET 01,14903202429.jpg,2006.113a–c,The Jewish Woman of Algiers,jaroslavd,"Metropolitan Museum of Art;;Charles-Henri-Joseph Cordier (1827-1905);Algerian onyx-marble, bronze and gilt bronze, enamel, amethyst eyes; white marble socle;French (Paris), 1862;;Cordier was Europe's premier ethnographical sculptor. He treated his subjects, studied intensely during travels in France's North African colonies, as exotic beings but not as stereotypes. He presents our richly dressed young beauty as alert but also contemplative. This is the earliest dated example of a composition that won marked success, in each case replicated with variants in the materials used. The Algerian onyx-marble was quarried expressly for Cordier's use. The pedestal is original, attributable to Charles-Francois Rossigneux. The bust and pedestal together were bought directly from Cordier by the Cercle des Phoceens, a gentlemen's club in Marseille.","jaroslavd: jewishwomanofalgiers,jaroslavd: charleshenrijosephcordier,jaroslavd: exotic,jaroslavd: northafrican,jaroslavd: beautiful,jaroslavd: woman,jaroslavd: bust,jaroslavd: sculpture,jaroslavd: onyxmarble,jaroslavd: bronze,jaroslavd: gilt,jaroslavd: amethyst,jaroslavd: orientalism,Department,Africa,Artwork,3D,sculpture,MetropolitanInDesc,Description,single,Artwork_number,full,Framing"
SET 01,14918434591.jpg,1990.53.2,Autumn in the Guise of Priapus,helendwall,"Autumn in the Guise of Priapus (one of a pair);Pietro Bernini ;(Italian, 15621629);Artist: Assisted by Gian Lorenzo Bernini (Italian, Naples 15981680 Rome);Date: 161617;Culture: Italian, Rome;Medium: Marble;Dimensions: confirmed: 89 5/8 30 5/8 27 5/8 in., 2531 lb. (227.6 77.8 70.2 cm, 1148.1 kg) Pedestal, confirmed: 42 1/2 30 30 in., 2725 lb. (108 76.2 76.2 cm, 1236.1 kg);Classification: Sculpture;Credit Line: Purchase, The Annenberg Foundation Gift, 1990;Accession Number: 1990.53.2;;<a href=http://www.metmuseum.org/collection/the-collection-online/search/209466 rel=nofollow>www.metmuseum.org/collection/the-collection-online/search...</a>  addl accession","NA,Artwork,3D,sculpture,AccessionInDesc,Description,single,Artwork_number,full,Framing"
SET 01,14940690236.jpg,80.3.674,-,Trish Mayo,"cmp3.10.3.1Lq4 0x18da0983 Sunny Afternoon With St Christopher  A beautiful light and shadow pattern at the Met Museum.  Information about the large Fresco on the left Saint Christopher and the Infant Christ Domenico Ghirlandaio (Domenico Bigordi) (Italian, Florence 1448/49–1494 Florence) Medium: Fresco Dimensions: 112 x 59 in. (284.5 x 149.9 cm) Classification: Paintings Credit Line: Gift of Cornelius Vanderbilt, 1880 Accession Number: 80.3.674","Artwork,painting,Inhabited,2D,AccessionInDesc,Description,single,Artwork_number,across_the_room,Framing,full"
SET 01,15088456272.jpg,20.125,Evening Revisited,jaroslavd,Evening;Metropolitan Museum of Art;Evening;Frederick Wellington Ruckstull (1853-1942);;This is always a favourite of mine when I visit the Met in New York. I can never resist trying to recapture its beguiling beauty. This is the first full length frontal that I have taken of it.;;It has been processed in Photoshop for that characteristic &quot;high key&quot; effect.,"jaroslavd: evening,jaroslavd: frederickwellingtonruckstull,jaroslavd: sculpture,jaroslavd: met,jaroslavd: metropolitanmuseumofart,jaroslavd: sensual,jaroslavd: nude,jaroslavd: naked,jaroslavd: highkey,jaroslavd: female,jaroslavd: woman,jaroslavd: marble,jaroslavd: desaturated,jaroslavd: framed,Artwork,3D,sculpture,MetropolitanInDesc,Description,single,Artwork_number,full,Framing"
SET 01,15089490112.jpg,45.60.37a–c,Bather,jaroslavd,"Metropolitan Museum of Art;Marble;Manner of Etienne-Maurice Falconet (1716-1791);French (Paris), ca. 1770-80;;Dimensions: Height (with base): 10 1/4 in. (26 cm);;This statuette belongs to the large group of works inspired by Falconet's popular biscuit figurines of similar subjects.","jaroslavd: bather,jaroslavd: etiennemauricefalconet,jaroslavd: stauette,jaroslavd: marble,jaroslavd: nude,jaroslavd: figurine,jaroslavd: sculpture,jaroslavd: met,jaroslavd: metropolitanmuseumofart,Artwork,3D,sculpture,MetropolitanInDesc,Description,single,Artwork_number,full,Framing"
SET 01,15096729130.jpg,32.100.71,Selvaggia Sassetti  (born 1470) TheMET(6).JPG,rverc,"Week 2 Pearls (656-660);Davide Ghirlandaio ( David Bigordi) Italian, Florence 1452-1525;<b><i>Selvaggia Sassetti (born 1470) </i></b>, ca. 1487-88;Tempera on wood;Probably painted by Donenico Ghirlandaios brother Davide, the sitter of this striking portrait has been identified as the fifth daughter of the banker Francesco Sassetti ( he had seven daughters in all). The occasion may have been her marriage to Simone dAmerigo Carnesecchi in 1488. Her well-to-do clothes include a coral necklace with a gold pendant with a red stone and three pearls. The three-quarter view and the manner in which the bust is cut off, with the arms acting as supports, remind one of sculpted portrait busts. The fine frame is of the sixteenth century.;The Friedsam Collection, Bequest of Michael Friedsam, 1931;32.100.71;From the placard: Metropolitan Museum of Art;;.;<a href=http://www.metmuseum.org/ rel=nofollow>www.metmuseum.org/</a>;<a href=http://en.wikipedia.org/wiki/Davide_Ghirlandaio rel=nofollow>en.wikipedia.org/wiki/Davide_Ghirlandaio</a>;<a href=http://www.nationalgallery.org.uk/artists/david-ghirlandaio rel=nofollow>www.nationalgallery.org.uk/artists/david-ghirlandaio</a>;<a href=http://www.metmuseum.org/collection/the-collection-online/search/436491 rel=nofollow>www.metmuseum.org/collection/the-collection-online/search...</a>;;;  addl accession","mystuart (hiatus): portrait,mystuart (hiatus): italian,mystuart (hiatus): jewelry,mystuart (hiatus): 15thcentury,mystuart (hiatus): florence,mystuart (hiatus): metmuseum,Artwork,2D,painting,MetropolitanInDesc,Description,AccessionInDesc,full,Framing,single,Artwork_number"
SET 01,15114397539.jpg,36.14a-c,Empty Benches TheMET(706),rverc,"Identify the Artist V Standings after week 2;Trish Mayo 60;Puzapose 49;Mystuart 10;MarkSobers 10;CVerwaal 8;Viejito 5;Sunday evening September 21, 2014 at 8:00 PM EST ;Week 3 <b><i>.Problem is, once youve done hands and feet...now you have to do knees </i></b> (661-665); (here: Bench 706);Joachim Patinir;Netherlandish, Dinant or Bouvignes, active by 1515, died 1524 Antwerp;<b><i> The Penitence of Saint Jerome </i></b>;Oil on wood;A milestone in the history of European landscape painting, this intact altarpiece may have been made for a church in South Germany. Its outside wings show Saint Sebald, patron saint of Nuremburg, and Saint Anne with the Virgin and Christ Child. Following Netherlandish tradition, large-scale sacred figures dominate the foreground: Saint John the Baptist baptizing Christ in the Jordan river, Saint Jerome, and Saint Anthony the Hermit with the monsters that assailed him. The true subject of the picture, however, is Patinirs splendid panoramic landscape, which the viewer is encouraged to travel through visually in the manner of a pilgrimage.;Fletcher Fund, 1936;36.14a-c;From the placard: Metropolitan Museum of Art;  addl accession","NA,European,Department,Artwork,sculpture,MetropolitanInDesc,Description,AccessionInDesc,Artwork_number,across_the_room,Framing,2D,single"
SET 01,15336463835.jpg,80.3.674,Saint Christopher and the Infant Christ TheMET(8),rverc,"Week 3 Problem is, once youve done hands and feet...now you have to do knees (661-665);Domenico Ghirlandaio ( Domenico Bigordi) Italian, Florence 1448/491494 Florence;<b><i>Saint Christopher and the Infant Christ </i></b>, ca. 1472-75;Fresco;Inscribed (on globe): ASIA / AFRIHA / [E]VROPA;This mural is an early work by the Florentine artist Ghirlandaio, who was renowned as a fresco painter and the head of an important workshop where the young Michelangelo trained. In the fresco technique, pigments mixed with water are applied directly on a fresh ( or fresco) plaster wall. As the plaster sets, a chemical reaction occurs whereby the pigment particles become locked into the wall, giving the work great durability.;The imposing figure of Saint Christopher, with wind blown garments, wades through the water carrying the Christ Child on his shoulders. His identity unknown, the Christ Child asked Christopher ( meaning Christ-bearer) to help him cross the river, as he had done for others. As he grew increasingly heavy, the Christ Child revealed himself to Christopher and informed him that he was bearing the weight of the world and its creator on his shoulders. Images of Saint Christopher, the patron saint of travelers, were often placed near the doorways of churches. This fresco may have adorned a chapel in the Michelozzi villa in Florence.;This work is on generous loan from the Department of European Paintings.;Gift of Cornelius Vanderbilt, 1880 ( 80.3.674);From the placard: Metropolitan Museum of Art;.;<a href=http://www.metmuseum.org/ rel=nofollow>www.metmuseum.org/</a>;<a href=http://en.wikipedia.org/wiki/Domenico_Ghirlandaio rel=nofollow>en.wikipedia.org/wiki/Domenico_Ghirlandaio</a>;<a href=https://www.britishmuseum.org/explore/highlights/highlight_objects/pd/d/ghirlandaio,_birth_of_virgin.aspx rel=nofollow>www.britishmuseum.org/explore/highlights/highlight_object...</a>;<a href=http://womeninrenaissanceart.wikispaces.com/Birth+of+the+Virgin rel=nofollow>womeninrenaissanceart.wikispaces.com/Birth+of+the+Virgin</a>;;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,rverc: europeanpainting,European,Department,Artwork,2D,painting,MetropolitanInDesc,Description,AccessionInDesc,multiple,Artwork_number,full,Framing,one-focal"
SET 02,11549739643.jpg,-,"The Birth of the Virgin - Fra Carnevale (Bartolomeo di Giovanni Corradini) (Italian, born by 1416died 1484 Urbino)",UGArdener,"n the Metropolitan Museum of Art, New York - from the gallery label:;;&quot;Breaking with convention, the artist shows the Madonnas birth in contemporary terms. In the background the newborn baby is bathed by midwives, while in the foreground women greet each other. The imposing palace, patterned on the ducal palace of Urbino, is decorated with reliefs derived from Roman sculpture. The picture is from an altarpiece commissioned in 1467 for the church of Santa Maria della Bella in Urbino. A companion panel is in the Museum of Fine Arts, Boston.;;Fra Carnevale worked in Florence with Filippo Lippi. In Urbino he saw paintings by Piero della Francesca and probably met the great architect-theorist Leon Battista Alberti.;;For a detailed discussion of this fascinating work, see metmuseum.org/collections.&quot;","NA,Roman,Department,2D,Artwork,Description,single,Artwork_number"
